nam_hoc,mean,median,mode,std,min,max
2023,38.448132896264426,39.4,41.05,6.890019301236384,4.6,54.3
2024,39.06001431173563,40.05,40.6,6.782332962451884,5.25,55.75
2025,23.79199940688019,23.85,26.5,4.194641293624674,2.0,44.25
