nam_hoc,mean,median,mode,std,min,max
2018,11.700663736893645,11.5,11.5,2.5814961729658537,0.75,23.25
2019,12.284182338902149,12.25,11.75,2.728210980104036,3.75,25.5
2020,12.5,12.5,12.5,,12.5,12.5
2025,17.221519533779407,17.2,17.35,2.973574864473593,6.300000000000001,27.75
