nam_hoc,mean,median,mode,std,min,max
2023,37.697137014314926,39.05,42.2,7.38043771964459,6.0,55.25
2024,39.21352130325815,40.55,41.3,7.077089753548053,2.25,54.65
2025,24.834600375776848,24.85,27.0,3.958706497893127,3.6,40.7
