nam_hoc,mon_hoc,diem,so_hoc_sinh
2023,ngu_van,7.83,101
2023,ngu_van,7.9,4
2023,ngu_van,7.91,8
2023,ngu_van,7.92,69
2023,ngu_van,7.95,1
2023,ngu_van,8.0,67519
2023,ngu_van,8.08,61
2023,ngu_van,8.1,2
2023,ngu_van,8.16,4
2023,ngu_van,8.17,39
2023,ngu_van,8.2,4
2023,ngu_van,8.25,50780
2023,ngu_van,8.3,1
2023,ngu_van,8.33,36
2023,ngu_van,8.41,8
2023,ngu_van,8.42,23
2023,ngu_van,8.5,48830
2023,ngu_van,8.58,13
2023,ngu_van,8.63,1
2023,ngu_van,8.66,2
2023,ngu_van,8.67,9
2023,ngu_van,8.75,35512
2023,ngu_van,8.8,1
2023,ngu_van,8.83,2
2023,ngu_van,8.91,1
2023,ngu_van,8.92,2
2023,ngu_van,9.0,26203
2023,ngu_van,9.08,3
2023,ngu_van,9.25,12073
2023,ngu_van,9.5,4661
2023,ngu_van,9.75,443
2023,ngu_van,10.0,1
2024,ngu_van,0.0,20
2024,ngu_van,0.25,10
2024,ngu_van,0.5,11
2024,ngu_van,0.75,11
2024,ngu_van,1.0,7
2024,ngu_van,1.25,187
2024,ngu_van,1.5,319
2024,ngu_van,1.75,372
2024,ngu_van,2.0,658
2024,ngu_van,2.17,1
2024,ngu_van,2.25,757
2024,ngu_van,2.5,1178
2024,ngu_van,2.58,2
2024,ngu_van,2.67,4
2024,ngu_van,2.75,1504
2024,ngu_van,2.91,1
2024,ngu_van,2.92,2
2024,ngu_van,3.0,2191
2024,ngu_van,3.06,1
2024,ngu_van,3.08,2
2024,ngu_van,3.16,1
2024,ngu_van,3.17,2
2024,ngu_van,3.25,2587
2024,ngu_van,3.3,1
2024,ngu_van,3.33,7
2024,ngu_van,3.34,1
2024,ngu_van,3.4,1
2024,ngu_van,3.41,1
2024,ngu_van,3.42,5
2024,ngu_van,3.5,3668
2024,ngu_van,3.58,9
2024,ngu_van,3.59,1
2024,ngu_van,3.6,2
2024,ngu_van,3.66,5
2024,ngu_van,3.67,10
2024,ngu_van,3.75,4486
2024,ngu_van,3.83,8
2024,ngu_van,3.91,2
2024,ngu_van,3.92,15
2024,ngu_van,4.0,6940
2024,ngu_van,4.08,14
2024,ngu_van,4.1,2
2024,ngu_van,4.16,3
2024,ngu_van,4.17,14
2024,ngu_van,4.19,1
2024,ngu_van,4.2,2
2024,ngu_van,4.25,7577
2024,ngu_van,4.3,2
2024,ngu_van,4.33,19
2024,ngu_van,4.41,4
2024,ngu_van,4.42,14
2024,ngu_van,4.5,10422
2024,ngu_van,4.58,28
2024,ngu_van,4.59,2
2024,ngu_van,4.6,2
2024,ngu_van,4.66,3
2024,ngu_van,4.67,21
2024,ngu_van,4.75,9999
2024,ngu_van,4.8,1
2024,ngu_van,4.83,42
2024,ngu_van,4.84,1
2024,ngu_van,4.92,31
2024,ngu_van,5.0,22720
2024,ngu_van,5.04,1
2024,ngu_van,5.08,47
2024,ngu_van,5.1,1
2024,ngu_van,5.16,6
2024,ngu_van,5.17,40
2024,ngu_van,5.2,2
2024,ngu_van,5.25,21130
2024,ngu_van,5.3,2
2024,ngu_van,5.33,54
2024,ngu_van,5.41,7
2024,ngu_van,5.42,59
2024,ngu_van,5.5,28865
2024,ngu_van,5.58,69
2024,ngu_van,5.6,7
2024,ngu_van,5.66,7
2024,ngu_van,5.67,69
2024,ngu_van,5.68,1
2024,ngu_van,5.7,3
2024,ngu_van,5.73,1
2024,ngu_van,5.75,32625
2024,ngu_van,5.8,3
2024,ngu_van,5.83,91
2024,ngu_van,5.85,1
2024,ngu_van,5.91,9
2024,ngu_van,5.92,92
2024,ngu_van,6.0,45026
2024,ngu_van,6.01,1
2024,ngu_van,6.05,1
2024,ngu_van,6.08,113
2024,ngu_van,6.09,1
2024,ngu_van,6.1,4
2024,ngu_van,6.15,1
2024,ngu_van,6.16,17
2024,ngu_van,6.17,97
2024,ngu_van,6.18,1
2024,ngu_van,6.2,4
2024,ngu_van,6.25,46737
2024,ngu_van,6.3,4
2024,ngu_van,6.33,112
2024,ngu_van,6.34,1
2024,ngu_van,6.41,25
2024,ngu_van,6.42,120
2024,ngu_van,6.43,1
2024,ngu_van,6.47,1
2024,ngu_van,6.5,59531
2024,ngu_van,6.57,1
2024,ngu_van,6.58,153
2024,ngu_van,6.59,1
2024,ngu_van,6.6,6
2024,ngu_van,6.66,11
2024,ngu_van,6.67,118
2024,ngu_van,6.7,3
2024,ngu_van,6.75,60407
2024,ngu_van,6.76,1
2024,ngu_van,6.8,8
2024,ngu_van,6.83,173
2024,ngu_van,6.9,3
2024,ngu_van,6.91,16
2024,ngu_van,6.92,122
2024,ngu_van,7.0,74971
2024,ngu_van,7.08,152
2024,ngu_van,7.09,1
2024,ngu_van,7.1,1
2024,ngu_van,7.12,1
2024,ngu_van,7.16,12
2024,ngu_van,7.17,147
2024,ngu_van,7.2,3
2024,ngu_van,7.22,1
2024,ngu_van,7.25,68429
2024,ngu_van,7.26,1
2024,ngu_van,7.27,1
2024,ngu_van,7.3,6
2024,ngu_van,7.33,116
2024,ngu_van,7.36,1
2024,ngu_van,7.38,1
2024,ngu_van,7.4,5
2024,ngu_van,7.41,16
2024,ngu_van,7.42,117
2024,ngu_van,7.46,2
2024,ngu_van,7.5,80134
2024,ngu_van,7.55,1
2024,ngu_van,7.58,133
2024,ngu_van,7.6,9
2024,ngu_van,7.63,1
2024,ngu_van,7.66,12
2024,ngu_van,7.67,87
2024,ngu_van,7.68,1
2024,ngu_van,7.7,3
2024,ngu_van,7.75,75758
2024,ngu_van,7.77,1
2024,ngu_van,7.8,9
2024,ngu_van,7.83,88
2024,ngu_van,7.88,1
2024,ngu_van,7.9,5
2024,ngu_van,7.91,6
2024,ngu_van,7.92,61
2024,ngu_van,7.96,1
2024,ngu_van,8.0,85848
2024,ngu_van,8.02,1
2024,ngu_van,8.08,65
2024,ngu_van,8.09,1
2024,ngu_van,8.1,1
2024,ngu_van,8.16,2
2024,ngu_van,8.17,43
2024,ngu_van,8.2,4
2024,ngu_van,8.25,70444
2024,ngu_van,8.3,6
2024,ngu_van,8.33,27
2024,ngu_van,8.4,2
2024,ngu_van,8.41,2
2024,ngu_van,8.42,17
2024,ngu_van,8.5,72213
2024,ngu_van,8.55,1
2024,ngu_van,8.58,10
