khoi,nam_hoc,tong_diem,so_hoc_sinh
C13,2018,0.75,1
C13,2018,2.0,1
C13,2018,4.0,2
C13,2018,4.25,1
C13,2018,4.5,1
C13,2018,4.75,6
C13,2018,5.0,4
C13,2018,5.25,8
C13,2018,5.5,11
C13,2018,5.75,12
C13,2018,6.0,20
C13,2018,6.25,27
C13,2018,6.5,43
C13,2018,6.75,53
C13,2018,7.0,68
C13,2018,7.25,95
C13,2018,7.5,94
C13,2018,7.75,155
C13,2018,7.85,1
C13,2018,8.0,182
C13,2018,8.25,197
C13,2018,8.5,220
C13,2018,8.75,288
C13,2018,8.92,2
C13,2018,9.0,359
C13,2018,9.25,416
C13,2018,9.42,2
C13,2018,9.5,484
C13,2018,9.58,1
C13,2018,9.67,1
C13,2018,9.75,539
C13,2018,9.83,1
C13,2018,9.91,1
C13,2018,10.0,612
C13,2018,10.08,4
C13,2018,10.17,2
C13,2018,10.25,683
C13,2018,10.33,1
C13,2018,10.42,1
C13,2018,10.5,748
C13,2018,10.58,1
C13,2018,10.66,1
C13,2018,10.67,2
C13,2018,10.75,878
C13,2018,10.83,3
C13,2018,10.91,1
C13,2018,10.92,3
C13,2018,11.0,958
C13,2018,11.08,4
C13,2018,11.16,1
C13,2018,11.17,1
C13,2018,11.25,1019
C13,2018,11.42,2
C13,2018,11.5,1003
C13,2018,11.57,1
C13,2018,11.58,3
C13,2018,11.67,2
C13,2018,11.75,1087
C13,2018,11.83,3
C13,2018,11.92,5
C13,2018,12.0,1191
C13,2018,12.07,1
C13,2018,12.08,2
C13,2018,12.16,1
C13,2018,12.17,3
C13,2018,12.25,1288
C13,2018,12.33,3
C13,2018,12.42,3
C13,2018,12.5,1285
C13,2018,12.58,2
C13,2018,12.6,1
C13,2018,12.67,3
C13,2018,12.75,1333
C13,2018,12.83,3
C13,2018,12.92,4
C13,2018,13.0,1431
C13,2018,13.08,7
C13,2018,13.17,2
C13,2018,13.25,1473
C13,2018,13.33,3
C13,2018,13.42,4
C13,2018,13.5,1487
C13,2018,13.58,6
C13,2018,13.66,1
C13,2018,13.75,1498
C13,2018,13.83,7
C13,2018,13.91,2
C13,2018,13.92,7
C13,2018,14.0,1503
C13,2018,14.08,3
C13,2018,14.16,1
C13,2018,14.17,5
C13,2018,14.25,1523
C13,2018,14.42,3
C13,2018,14.5,1419
C13,2018,14.58,6
C13,2018,14.67,2
C13,2018,14.75,1398
C13,2018,14.83,1
C13,2018,14.92,2
C13,2018,15.0,1347
C13,2018,15.08,7
C13,2018,15.16,1
C13,2018,15.17,5
C13,2018,15.24,1
C13,2018,15.25,1354
C13,2018,15.3,1
C13,2018,15.33,4
C13,2018,15.41,2
C13,2018,15.42,2
C13,2018,15.5,1240
C13,2018,15.55,1
C13,2018,15.58,2
C13,2018,15.66,2
C13,2018,15.67,3
C13,2018,15.75,1247
C13,2018,15.83,7
C13,2018,15.85,1
C13,2018,15.91,1
C13,2018,15.92,2
C13,2018,16.0,1075
C13,2018,16.08,3
C13,2018,16.17,5
C13,2018,16.25,1020
C13,2018,16.3,1
C13,2018,16.33,7
C13,2018,16.42,1
C13,2018,16.5,963
C13,2018,16.58,4
C13,2018,16.67,2
C13,2018,16.75,825
C13,2018,16.83,3
C13,2018,16.92,5
C13,2018,17.0,760
C13,2018,17.08,1
C13,2018,17.16,1
C13,2018,17.17,1
C13,2018,17.25,696
C13,2018,17.33,3
C13,2018,17.5,635
C13,2018,17.67,1
C13,2018,17.75,520
C13,2018,17.83,3
C13,2018,17.91,1
C13,2018,17.92,1
C13,2018,18.0,453
C13,2018,18.08,2
C13,2018,18.17,1
C13,2018,18.25,390
C13,2018,18.42,1
C13,2018,18.5,344
C13,2018,18.54,1
C13,2018,18.75,295
C13,2018,18.83,2
C13,2018,18.92,1
C13,2018,19.0,261
C13,2018,19.25,218
C13,2018,19.33,1
C13,2018,19.5,173
C13,2018,19.75,129
C13,2018,19.92,1
C13,2018,20.0,105
C13,2018,20.08,1
C13,2018,20.17,1
C13,2018,20.25,97
C13,2018,20.5,65
C13,2018,20.75,56
C13,2018,20.83,1
C13,2018,21.0,43
C13,2018,21.08,1
C13,2018,21.25,31
C13,2018,21.33,2
C13,2018,21.5,16
C13,2018,21.75,13
C13,2018,22.0,14
C13,2018,22.25,15
C13,2018,22.5,9
C13,2018,22.75,5
C13,2018,23.0,2
C13,2018,23.25,4
C13,2018,23.5,1
C13,2018,23.75,3
C13,2018,24.0,2
C13,2018,24.75,1
C13,2019,4.5,1
C13,2019,4.75,1
C13,2019,5.0,6
C13,2019,5.25,7
C13,2019,5.5,11
C13,2019,5.75,12
C13,2019,6.0,14
C13,2019,6.25,14
C13,2019,6.5,28
C13,2019,6.75,31
C13,2019,7.0,30
C13,2019,7.25,47
C13,2019,7.5,51
C13,2019,7.75,67
C13,2019,8.0,71
C13,2019,8.25,94
C13,2019,8.33,1
C13,2019,8.42,1
C13,2019,8.5,144
C13,2019,8.75,136
C13,2019,9.0,166
C13,2019,9.17,1
C13,2019,9.25,201
C13,2019,9.5,230
C13,2019,9.55,1
C13,2019,9.58,1
C13,2019,9.67,1
C13,2019,9.75,270
C13,2019,9.92,1
C13,2019,10.0,295
C13,2019,10.08,3
C13,2019,10.25,328
C13,2019,10.42,2
C13,2019,10.5,376
C13,2019,10.58,3
C13,2019,10.67,1
C13,2019,10.75,404
C13,2019,10.83,3
C13,2019,10.91,1
C13,2019,10.92,1
C13,2019,11.0,483
C13,2019,11.1,1
C13,2019,11.15,1
C13,2019,11.17,2
C13,2019,11.25,519
C13,2019,11.3,2
C13,2019,11.33,3
C13,2019,11.35,1
C13,2019,11.42,2
C13,2019,11.5,617
C13,2019,11.75,681
C13,2019,11.83,2
C13,2019,11.91,1
C13,2019,11.92,1
C13,2019,12.0,689
C13,2019,12.08,3
C13,2019,12.16,1
C13,2019,12.17,1
C13,2019,12.25,804
C13,2019,12.33,4
C13,2019,12.41,1
C13,2019,12.42,1
C13,2019,12.5,896
C13,2019,12.58,1
C13,2019,12.6,1
C13,2019,12.67,1
C13,2019,12.75,949
C13,2019,12.83,6
C13,2019,12.91,2
C13,2019,12.92,7
C13,2019,13.0,1022
C13,2019,13.05,2
C13,2019,13.08,2
C13,2019,13.17,2
C13,2019,13.2,2
C13,2019,13.219999999999999,1
C13,2019,13.25,1075
C13,2019,13.3,1
C13,2019,13.33,6
C13,2019,13.41,2
C13,2019,13.42,7
C13,2019,13.5,1138
C13,2019,13.58,5
C13,2019,13.65,1
C13,2019,13.67,1
C13,2019,13.75,1226
C13,2019,13.83,3
C13,2019,13.91,1
C13,2019,13.92,3
C13,2019,14.0,1137
C13,2019,14.08,8
C13,2019,14.17,2
C13,2019,14.25,1183
C13,2019,14.3,1
C13,2019,14.33,5
C13,2019,14.41,2
C13,2019,14.42,3
C13,2019,14.5,1258
C13,2019,14.58,9
C13,2019,14.66,3
C13,2019,14.67,2
C13,2019,14.75,1218
C13,2019,14.83,9
C13,2019,14.92,8
C13,2019,15.0,1190
C13,2019,15.08,6
C13,2019,15.1,2
C13,2019,15.17,7
C13,2019,15.25,1206
C13,2019,15.33,4
C13,2019,15.4,1
C13,2019,15.42,4
C13,2019,15.5,1151
C13,2019,15.58,6
C13,2019,15.67,4
C13,2019,15.75,1099
C13,2019,15.8,1
C13,2019,15.83,3
C13,2019,15.92,3
C13,2019,16.0,1062
C13,2019,16.05,1
C13,2019,16.08,1
C13,2019,16.15,1
C13,2019,16.16,1
C13,2019,16.17,2
C13,2019,16.25,957
C13,2019,16.33,7
C13,2019,16.42,1
C13,2019,16.5,912
C13,2019,16.58,5
C13,2019,16.66,1
C13,2019,16.67,1
C13,2019,16.7,1
C13,2019,16.75,845
C13,2019,16.83,1
C13,2019,16.92,1
C13,2019,17.0,711
C13,2019,17.16,1
C13,2019,17.17,3
C13,2019,17.25,643
C13,2019,17.33,2
C13,2019,17.42,3
C13,2019,17.5,566
C13,2019,17.58,1
C13,2019,17.66,1
C13,2019,17.67,1
C13,2019,17.75,473
C13,2019,17.83,1
C13,2019,17.92,1
C13,2019,18.0,413
C13,2019,18.08,1
C13,2019,18.17,3
C13,2019,18.25,348
C13,2019,18.33,1
C13,2019,18.42,1
C13,2019,18.5,307
C13,2019,18.58,4
C13,2019,18.67,1
C13,2019,18.75,261
C13,2019,18.83,1
C13,2019,19.0,223
C13,2019,19.21,1
C13,2019,19.25,183
C13,2019,19.5,131
C13,2019,19.75,109
C13,2019,20.0,102
C13,2019,20.25,79
C13,2019,20.5,42
C13,2019,20.75,47
C13,2019,21.0,30
C13,2019,21.25,32
C13,2019,21.5,18
C13,2019,21.75,11
C13,2019,22.0,8
C13,2019,22.25,12
C13,2019,22.5,3
C13,2019,22.75,3
C13,2019,23.25,2
C13,2019,23.5,1
C13,2020,14.75,1
C13,2025,4.05,1
C13,2025,4.1,1
C13,2025,4.95,1
C13,2025,7.45,1
C13,2025,7.6,2
C13,2025,7.7,2
C13,2025,8.35,1
C13,2025,8.45,1
C13,2025,8.7,1
C13,2025,8.9,1
C13,2025,8.95,2
C13,2025,9.0,2
C13,2025,9.05,1
C13,2025,9.1,1
C13,2025,9.2,2
C13,2025,9.35,2
C13,2025,9.45,1
C13,2025,9.55,2
C13,2025,9.6,1
C13,2025,9.7,1
C13,2025,9.75,1
C13,2025,9.8,2
C13,2025,9.85,2
C13,2025,9.95,4
C13,2025,10.05,1
C13,2025,10.1,4
C13,2025,10.149999999999999,1
C13,2025,10.2,1
C13,2025,10.25,1
C13,2025,10.3,1
C13,2025,10.35,3
C13,2025,10.399999999999999,1
C13,2025,10.45,2
C13,2025,10.5,1
C13,2025,10.55,1
C13,2025,10.6,3
C13,2025,10.7,1
C13,2025,10.799999999999999,1
C13,2025,10.8,3
C13,2025,10.85,3
C13,2025,10.95,2
C13,2025,11.0,2
C13,2025,11.05,1
C13,2025,11.1,3
C13,2025,11.2,4
C13,2025,11.299999999999999,1
C13,2025,11.3,3
C13,2025,11.35,1
C13,2025,11.45,3
C13,2025,11.55,2
C13,2025,11.6,9
C13,2025,11.7,6
C13,2025,11.799999999999999,1
C13,2025,11.8,2
C13,2025,11.85,5
C13,2025,11.95,1
C13,2025,12.0,2
C13,2025,12.05,1
C13,2025,12.1,5
C13,2025,12.2,5
C13,2025,12.25,2
C13,2025,12.299999999999999,3
C13,2025,12.3,1
C13,2025,12.35,5
C13,2025,12.45,5
C13,2025,12.5,2
C13,2025,12.55,3
C13,2025,12.6,5
C13,2025,12.649999999999999,3
C13,2025,12.7,7
C13,2025,12.75,3
C13,2025,12.799999999999999,1
C13,2025,12.8,1
C13,2025,12.85,6
C13,2025,12.95,8
C13,2025,13.0,5
C13,2025,13.05,2
C13,2025,13.1,6
C13,2025,13.149999999999999,1
C13,2025,13.2,7
C13,2025,13.25,5
C13,2025,13.299999999999999,2
C13,2025,13.3,2
C13,2025,13.35,9
C13,2025,13.45,8
C13,2025,13.5,4
C13,2025,13.549999999999999,1
C13,2025,13.55,3
C13,2025,13.6,12
C13,2025,13.7,8
C13,2025,13.75,3
C13,2025,13.8,2
C13,2025,13.85,10
C13,2025,13.899999999999999,1
C13,2025,13.9,1
C13,2025,13.93,1
C13,2025,13.95,6
C13,2025,14.0,8
C13,2025,14.049999999999999,1
C13,2025,14.05,6
C13,2025,14.1,11
C13,2025,14.149999999999999,1
C13,2025,14.2,9
C13,2025,14.25,4
C13,2025,14.299999999999999,2
C13,2025,14.3,1
C13,2025,14.35,13
C13,2025,14.4,1
C13,2025,14.45,16
C13,2025,14.5,6
C13,2025,14.549999999999999,4
C13,2025,14.55,4
C13,2025,14.6,8
C13,2025,14.649999999999999,1
C13,2025,14.7,8
C13,2025,14.75,4
C13,2025,14.8,3
C13,2025,14.85,9
C13,2025,14.899999999999999,2
C13,2025,14.9,1
C13,2025,14.95,7
C13,2025,15.0,7
C13,2025,15.049999999999999,1
C13,2025,15.05,4
C13,2025,15.1,13
C13,2025,15.149999999999999,1
C13,2025,15.2,6
C13,2025,15.25,11
C13,2025,15.299999999999999,2
C13,2025,15.3,2
C13,2025,15.35,14
C13,2025,15.4,1
C13,2025,15.45,10
C13,2025,15.5,1
C13,2025,15.55,3
C13,2025,15.6,17
C13,2025,15.7,10
C13,2025,15.75,9
C13,2025,15.799999999999999,2
C13,2025,15.8,1
C13,2025,15.85,18
C13,2025,15.95,7
C13,2025,16.0,9
C13,2025,16.049999999999997,1
