khoi,nam_hoc,tong_diem,so_hoc_sinh
A03,2018,0.0,15
A03,2018,2.0,1
A03,2018,2.2,1
A03,2018,3.7,1
A03,2018,3.8,1
A03,2018,4.1,1
A03,2018,4.2,1
A03,2018,4.45,1
A03,2018,4.55,4
A03,2018,4.6,3
A03,2018,4.75,4
A03,2018,4.85,2
A03,2018,4.9,4
A03,2018,4.95,4
A03,2018,5.0,2
A03,2018,5.05,4
A03,2018,5.1,3
A03,2018,5.15,8
A03,2018,5.2,7
A03,2018,5.25,3
A03,2018,5.3,7
A03,2018,5.35,7
A03,2018,5.4,11
A03,2018,5.45,8
A03,2018,5.5,12
A03,2018,5.55,12
A03,2018,5.6,11
A03,2018,5.65,18
A03,2018,5.7,14
A03,2018,5.75,12
A03,2018,5.8,25
A03,2018,5.85,23
A03,2018,5.9,16
A03,2018,5.95,23
A03,2018,6.0,21
A03,2018,6.05,35
A03,2018,6.1,31
A03,2018,6.15,33
A03,2018,6.2,32
A03,2018,6.25,46
A03,2018,6.3,44
A03,2018,6.35,37
A03,2018,6.4,49
A03,2018,6.45,53
A03,2018,6.5,46
A03,2018,6.55,77
A03,2018,6.6,72
A03,2018,6.65,70
A03,2018,6.7,59
A03,2018,6.75,80
A03,2018,6.8,76
A03,2018,6.85,79
A03,2018,6.9,94
A03,2018,6.95,96
A03,2018,7.0,117
A03,2018,7.05,91
A03,2018,7.1,97
A03,2018,7.15,92
A03,2018,7.2,121
A03,2018,7.25,99
A03,2018,7.3,129
A03,2018,7.35,134
A03,2018,7.4,119
A03,2018,7.45,129
A03,2018,7.5,165
A03,2018,7.55,161
A03,2018,7.6,182
A03,2018,7.65,175
A03,2018,7.7,162
A03,2018,7.75,171
A03,2018,7.8,188
A03,2018,7.85,184
A03,2018,7.9,183
A03,2018,7.95,216
A03,2018,8.0,183
A03,2018,8.05,200
A03,2018,8.1,202
A03,2018,8.15,235
A03,2018,8.2,201
A03,2018,8.25,248
A03,2018,8.3,243
A03,2018,8.35,230
A03,2018,8.4,237
A03,2018,8.45,224
A03,2018,8.5,258
A03,2018,8.55,254
A03,2018,8.6,266
A03,2018,8.65,260
A03,2018,8.7,274
A03,2018,8.75,260
A03,2018,8.8,282
A03,2018,8.85,288
A03,2018,8.9,267
A03,2018,8.95,269
A03,2018,9.0,289
A03,2018,9.05,309
A03,2018,9.1,283
A03,2018,9.15,303
A03,2018,9.2,280
A03,2018,9.25,280
A03,2018,9.3,268
A03,2018,9.35,269
A03,2018,9.4,284
A03,2018,9.45,307
A03,2018,9.5,285
A03,2018,9.55,318
A03,2018,9.6,324
A03,2018,9.65,298
A03,2018,9.7,306
A03,2018,9.75,300
A03,2018,9.8,315
A03,2018,9.85,283
A03,2018,9.9,305
A03,2018,9.95,350
A03,2018,10.0,296
A03,2018,10.05,332
A03,2018,10.1,294
A03,2018,10.15,323
A03,2018,10.2,266
A03,2018,10.25,294
A03,2018,10.3,307
A03,2018,10.35,294
A03,2018,10.4,325
A03,2018,10.45,292
A03,2018,10.5,310
A03,2018,10.55,303
A03,2018,10.6,281
A03,2018,10.65,290
A03,2018,10.7,319
A03,2018,10.75,316
A03,2018,10.8,315
A03,2018,10.85,305
A03,2018,10.9,311
A03,2018,10.95,285
A03,2018,11.0,260
A03,2018,11.05,277
A03,2018,11.1,287
A03,2018,11.15,256
A03,2018,11.2,251
A03,2018,11.25,284
A03,2018,11.3,316
A03,2018,11.35,267
A03,2018,11.4,312
A03,2018,11.45,291
A03,2018,11.5,278
A03,2018,11.55,259
A03,2018,11.6,270
A03,2018,11.65,278
A03,2018,11.7,266
A03,2018,11.75,268
A03,2018,11.8,243
A03,2018,11.85,254
A03,2018,11.9,228
A03,2018,11.95,256
A03,2018,12.0,258
A03,2018,12.05,254
A03,2018,12.1,274
A03,2018,12.15,235
A03,2018,12.2,252
A03,2018,12.25,253
A03,2018,12.3,231
A03,2018,12.35,249
A03,2018,12.4,230
A03,2018,12.45,237
A03,2018,12.5,224
A03,2018,12.55,240
A03,2018,12.6,225
A03,2018,12.65,205
A03,2018,12.7,234
A03,2018,12.75,232
A03,2018,12.8,203
A03,2018,12.85,201
A03,2018,12.9,213
A03,2018,12.95,191
A03,2018,13.0,191
A03,2018,13.05,213
A03,2018,13.1,187
A03,2018,13.15,189
A03,2018,13.2,188
A03,2018,13.25,190
A03,2018,13.3,202
A03,2018,13.35,150
A03,2018,13.4,179
A03,2018,13.45,186
A03,2018,13.5,159
A03,2018,13.55,171
A03,2018,13.6,161
A03,2018,13.65,161
A03,2018,13.7,168
A03,2018,13.75,154
A03,2018,13.8,163
A03,2018,13.85,135
A03,2018,13.9,150
A03,2018,13.95,135
A03,2018,14.0,140
A03,2018,14.05,164
A03,2018,14.1,137
A03,2018,14.15,138
A03,2018,14.2,144
A03,2018,14.25,142
A03,2018,14.3,160
A03,2018,14.35,139
A03,2018,14.4,135
A03,2018,14.45,125
A03,2018,14.5,117
A03,2018,14.55,132
A03,2018,14.6,104
A03,2018,14.65,122
A03,2018,14.7,133
A03,2018,14.75,103
A03,2018,14.8,90
A03,2018,14.85,126
A03,2018,14.9,128
A03,2018,14.95,112
A03,2018,15.0,91
A03,2018,15.05,114
A03,2018,15.1,98
A03,2018,15.15,100
A03,2018,15.2,99
A03,2018,15.25,100
A03,2018,15.3,98
A03,2018,15.35,88
A03,2018,15.4,87
A03,2018,15.45,87
A03,2018,15.5,77
A03,2018,15.55,102
A03,2018,15.6,97
A03,2018,15.65,86
A03,2018,15.7,74
A03,2018,15.75,92
A03,2018,15.8,72
A03,2018,15.85,93
A03,2018,15.9,62
A03,2018,15.95,76
A03,2018,16.0,69
A03,2018,16.05,70
A03,2018,16.1,59
A03,2018,16.15,66
A03,2018,16.2,72
A03,2018,16.25,57
A03,2018,16.3,49
A03,2018,16.35,56
A03,2018,16.4,50
