nam_hoc,mean,median,mode,std,min,max
2018,28.90146462941077,29.5,28.85,6.81452470132083,0.0,57.0
2019,31.69137242669994,32.6,33.95,7.514328171348567,0.25,58.05
2021,37.616084574427035,39.0,38.8,8.236198783832224,3.2,55.8
2022,36.09914066819367,37.1,40.85,8.009451928413082,0.0,55.6
2023,36.91555132784594,38.4,40.0,8.116450125135376,2.0,54.3
2024,39.59822872971903,40.6,39.05,7.4220553178752136,5.0,57.3
2025,24.58051681763921,24.6,25.25,4.032344607476222,5.0,47.35
