nam_hoc,mean,median,mode,std,min,max
2018,3.9078587978270556,3.6,3.0,1.5775054937630368,0.0,10.0
2019,4.363159602745176,4.0,3.2,1.8113306798243258,0.0,10.0
2020,4.568337179995285,4.2,3.2,1.8084463850738537,0.0,10.0
2021,5.880415275679639,5.6,3.8,2.225320295292633,0.0,10.0
2022,5.157686401128406,4.8,3.8,1.949547456831867,0.0,10.0
2023,5.4624104281853425,5.2,4.2,1.966353172708501,0.0,10.0
2024,5.521937975578091,5.2,4.6,1.8806574502215911,0.0,10.0
2025,5.406337626558302,5.25,5.25,1.4876243190430802,0.0,10.0
