khoi,nam_hoc,tong_diem,so_hoc_sinh
X56,2025,9.6,1
X56,2025,10.45,1
X56,2025,10.65,1
X56,2025,11.3,2
X56,2025,11.8,1
X56,2025,12.1,3
X56,2025,12.2,1
X56,2025,12.5,1
X56,2025,12.549999999999999,1
X56,2025,12.6,1
X56,2025,13.1,1
X56,2025,13.45,1
X56,2025,13.75,1
X56,2025,14.05,1
X56,2025,14.1,1
X56,2025,14.3,1
X56,2025,14.35,1
X56,2025,14.6,1
X56,2025,14.7,1
X56,2025,15.0,1
X56,2025,15.1,2
X56,2025,15.5,1
X56,2025,15.6,1
X56,2025,15.799999999999999,1
X56,2025,16.2,1
X56,2025,16.25,1
X56,2025,16.45,1
X56,2025,16.5,3
X56,2025,16.6,1
X56,2025,16.7,1
X56,2025,16.85,3
X56,2025,17.2,2
X56,2025,17.6,1
X56,2025,17.95,1
X56,2025,18.2,2
X56,2025,18.35,1
X56,2025,18.5,1
X56,2025,18.75,1
X56,2025,18.85,1
X56,2025,19.0,2
X56,2025,19.5,1
X56,2025,19.75,1
X56,2025,19.85,1
X56,2025,20.0,3
X56,2025,20.25,1
X56,2025,20.5,1
X56,2025,21.1,1
X56,2025,23.25,1
