nam_hoc,mean,median,mode,std,min,max
2018,17.04149348953709,17.2,17.25,3.211005906863496,0.0,27.7
2019,18.002096095877093,18.3,18.65,3.320613161530064,2.5,27.6
2020,21.00976175617483,21.4,22.15,3.2189945502573605,0.0,29.1
2021,21.187910256778324,21.6,22.8,3.263169727403195,3.7,28.9
2022,20.722766855912084,21.05,21.85,3.262247590211645,4.25,29.4
2023,21.173670790553327,21.55,22.65,3.241252346449117,4.0,28.95
2024,21.639548882914593,22.0,22.85,3.0607403952173113,2.4,28.75
2025,18.45913141210607,18.6,19.75,2.9924379531213496,4.550000000000001,28.75
