khoi,nam_hoc,tong_diem,so_hoc_sinh
X79,2025,10.6,1
X79,2025,11.6,2
X79,2025,11.7,1
X79,2025,11.75,1
X79,2025,11.85,1
X79,2025,12.2,1
X79,2025,12.25,1
X79,2025,12.35,3
X79,2025,12.5,2
X79,2025,12.6,2
X79,2025,12.75,2
X79,2025,12.85,1
X79,2025,12.95,1
X79,2025,13.0,3
X79,2025,13.1,3
X79,2025,13.2,1
X79,2025,13.25,7
X79,2025,13.35,2
X79,2025,13.5,4
X79,2025,13.6,1
X79,2025,13.75,9
X79,2025,13.85,6
X79,2025,14.0,6
X79,2025,14.1,6
X79,2025,14.25,8
X79,2025,14.35,4
X79,2025,14.5,9
X79,2025,14.6,7
X79,2025,14.75,16
X79,2025,14.85,8
X79,2025,14.95,1
X79,2025,15.0,17
X79,2025,15.1,8
X79,2025,15.2,3
X79,2025,15.25,15
X79,2025,15.35,6
X79,2025,15.45,2
X79,2025,15.5,26
X79,2025,15.6,14
X79,2025,15.7,2
X79,2025,15.75,33
X79,2025,15.85,10
X79,2025,15.95,1
X79,2025,16.0,29
X79,2025,16.08,1
X79,2025,16.1,9
X79,2025,16.18,1
X79,2025,16.2,1
X79,2025,16.25,22
X79,2025,16.35,16
X79,2025,16.42,1
X79,2025,16.45,1
X79,2025,16.5,33
X79,2025,16.6,11
X79,2025,16.7,1
X79,2025,16.75,40
X79,2025,16.77,1
X79,2025,16.85,18
X79,2025,17.0,48
X79,2025,17.1,15
X79,2025,17.2,1
X79,2025,17.25,45
X79,2025,17.35,21
X79,2025,17.42,1
X79,2025,17.43,1
X79,2025,17.45,1
X79,2025,17.5,49
X79,2025,17.6,16
X79,2025,17.67,1
X79,2025,17.7,4
X79,2025,17.75,61
X79,2025,17.83,1
X79,2025,17.85,22
X79,2025,17.95,2
X79,2025,18.0,62
X79,2025,18.1,14
X79,2025,18.2,1
X79,2025,18.25,65
X79,2025,18.35,18
X79,2025,18.45,2
X79,2025,18.5,57
X79,2025,18.6,13
X79,2025,18.75,66
X79,2025,18.85,21
X79,2025,18.95,1
X79,2025,19.0,65
X79,2025,19.1,16
X79,2025,19.25,79
X79,2025,19.35,17
X79,2025,19.45,1
X79,2025,19.5,55
X79,2025,19.58,1
X79,2025,19.6,11
X79,2025,19.75,74
X79,2025,19.85,15
X79,2025,20.0,75
X79,2025,20.1,23
X79,2025,20.25,82
X79,2025,20.35,16
X79,2025,20.5,66
X79,2025,20.6,15
X79,2025,20.66,1
X79,2025,20.75,83
X79,2025,20.83,1
X79,2025,20.85,10
X79,2025,20.95,1
X79,2025,21.0,74
X79,2025,21.1,9
X79,2025,21.2,1
X79,2025,21.25,66
X79,2025,21.35,13
X79,2025,21.42,1
X79,2025,21.5,55
X79,2025,21.6,11
X79,2025,21.75,59
X79,2025,21.85,3
X79,2025,21.95,1
X79,2025,22.0,53
X79,2025,22.1,6
X79,2025,22.25,58
X79,2025,22.35,4
X79,2025,22.5,50
X79,2025,22.6,2
X79,2025,22.75,47
X79,2025,22.85,2
X79,2025,23.0,42
X79,2025,23.1,3
X79,2025,23.25,50
X79,2025,23.35,6
X79,2025,23.5,45
X79,2025,23.6,4
X79,2025,23.75,29
X79,2025,23.85,2
X79,2025,24.0,33
X79,2025,24.1,1
X79,2025,24.25,21
X79,2025,24.35,1
X79,2025,24.5,26
X79,2025,24.6,3
X79,2025,24.75,37
X79,2025,24.85,1
X79,2025,25.0,26
X79,2025,25.1,2
X79,2025,25.25,19
X79,2025,25.5,13
X79,2025,25.7,1
X79,2025,25.75,15
X79,2025,26.0,14
X79,2025,26.25,15
X79,2025,26.5,5
X79,2025,26.75,7
X79,2025,27.0,3
X79,2025,27.1,1
X79,2025,27.25,3
X79,2025,27.75,2
