khoi,nam_hoc,tong_diem,so_hoc_sinh
C06,2023,6.25,1
C06,2023,6.5,2
C06,2023,6.75,2
C06,2023,7.25,2
C06,2023,7.5,2
C06,2023,7.75,3
C06,2023,8.0,2
C06,2023,8.25,2
C06,2023,8.5,7
C06,2023,8.75,7
C06,2023,9.0,13
C06,2023,9.25,14
C06,2023,9.5,18
C06,2023,9.58,1
C06,2023,9.75,12
C06,2023,9.92,1
C06,2023,10.0,32
C06,2023,10.25,33
C06,2023,10.5,56
C06,2023,10.75,55
C06,2023,11.0,84
C06,2023,11.25,105
C06,2023,11.33,1
C06,2023,11.5,143
C06,2023,11.75,176
C06,2023,12.0,194
C06,2023,12.17,1
C06,2023,12.25,278
C06,2023,12.33,1
C06,2023,12.5,368
C06,2023,12.66,1
C06,2023,12.7,1
C06,2023,12.75,430
C06,2023,12.83,1
C06,2023,12.92,1
C06,2023,13.0,495
C06,2023,13.08,2
C06,2023,13.17,1
C06,2023,13.25,655
C06,2023,13.33,1
C06,2023,13.5,768
C06,2023,13.58,2
C06,2023,13.66,1
C06,2023,13.67,1
C06,2023,13.75,932
C06,2023,13.83,2
C06,2023,13.91,1
C06,2023,14.0,1193
C06,2023,14.08,5
C06,2023,14.16,1
C06,2023,14.17,4
C06,2023,14.25,1383
C06,2023,14.33,3
C06,2023,14.42,2
C06,2023,14.5,1593
C06,2023,14.58,4
C06,2023,14.629999999999999,1
C06,2023,14.67,7
C06,2023,14.75,1902
C06,2023,14.83,4
C06,2023,14.95,1
C06,2023,15.0,2244
C06,2023,15.08,7
C06,2023,15.17,4
C06,2023,15.25,2556
C06,2023,15.33,5
C06,2023,15.42,4
C06,2023,15.5,2936
C06,2023,15.58,5
C06,2023,15.66,1
C06,2023,15.67,6
C06,2023,15.68,1
C06,2023,15.75,3317
C06,2023,15.83,4
C06,2023,15.91,2
C06,2023,15.92,2
C06,2023,16.0,3835
C06,2023,16.05,1
C06,2023,16.08,11
C06,2023,16.16,2
C06,2023,16.17,9
C06,2023,16.25,4231
C06,2023,16.33,7
C06,2023,16.41,2
C06,2023,16.42,3
C06,2023,16.5,4704
C06,2023,16.58,6
C06,2023,16.66,1
C06,2023,16.67,6
C06,2023,16.75,5327
C06,2023,16.83,9
C06,2023,16.92,13
C06,2023,16.95,1
C06,2023,17.0,5798
C06,2023,17.08,16
C06,2023,17.1,2
C06,2023,17.16,2
C06,2023,17.17,10
C06,2023,17.18,2
C06,2023,17.25,6531
C06,2023,17.33,16
C06,2023,17.41,1
C06,2023,17.42,15
C06,2023,17.45,1
C06,2023,17.5,6935
C06,2023,17.52,1
C06,2023,17.55,1
C06,2023,17.58,14
C06,2023,17.6,1
C06,2023,17.65,1
C06,2023,17.66,2
C06,2023,17.67,16
C06,2023,17.73,1
C06,2023,17.75,7543
C06,2023,17.8,1
C06,2023,17.83,21
C06,2023,17.91,3
C06,2023,17.92,10
C06,2023,17.95,1
C06,2023,18.0,8321
C06,2023,18.03,1
C06,2023,18.08,20
C06,2023,18.1,1
C06,2023,18.16,5
C06,2023,18.17,16
C06,2023,18.2,2
C06,2023,18.25,8905
C06,2023,18.33,16
C06,2023,18.41,6
C06,2023,18.42,11
C06,2023,18.5,9282
C06,2023,18.58,22
C06,2023,18.6,1
C06,2023,18.67,28
C06,2023,18.75,9996
C06,2023,18.8,2
C06,2023,18.83,22
C06,2023,18.9,1
C06,2023,18.91,3
C06,2023,18.92,8
C06,2023,18.95,1
C06,2023,19.0,10488
C06,2023,19.08,22
C06,2023,19.15,1
C06,2023,19.16,2
C06,2023,19.17,16
C06,2023,19.25,11038
C06,2023,19.3,1
C06,2023,19.33,25
C06,2023,19.380000000000003,1
C06,2023,19.41,3
C06,2023,19.42,30
C06,2023,19.5,10983
C06,2023,19.55,2
C06,2023,19.56,1
C06,2023,19.58,24
C06,2023,19.6,1
C06,2023,19.65,2
C06,2023,19.66,4
C06,2023,19.67,16
C06,2023,19.7,2
C06,2023,19.75,11675
C06,2023,19.83,21
C06,2023,19.91,3
C06,2023,19.92,17
C06,2023,19.95,2
C06,2023,20.0,11761
C06,2023,20.08,29
C06,2023,20.15,1
C06,2023,20.16,2
C06,2023,20.17,21
C06,2023,20.25,12206
C06,2023,20.3,1
C06,2023,20.32,1
C06,2023,20.33,34
C06,2023,20.41,5
C06,2023,20.42,16
C06,2023,20.5,12097
C06,2023,20.55,3
C06,2023,20.58,17
C06,2023,20.6,1
C06,2023,20.65,1
C06,2023,20.66,3
C06,2023,20.67,20
C06,2023,20.75,12304
C06,2023,20.83,22
C06,2023,20.91,5
C06,2023,20.92,17
C06,2023,21.0,12136
C06,2023,21.05,1
C06,2023,21.08,26
C06,2023,21.16,1
C06,2023,21.17,15
C06,2023,21.2,1
C06,2023,21.25,11554
C06,2023,21.33,24
C06,2023,21.41,2
C06,2023,21.42,16
C06,2023,21.5,11263
C06,2023,21.58,23
C06,2023,21.66,3
C06,2023,21.67,18
C06,2023,21.75,10946
C06,2023,21.78,1
C06,2023,21.8,1
C06,2023,21.83,17
C06,2023,21.91,2
C06,2023,21.92,11
C06,2023,21.990000000000002,1
C06,2023,22.0,10503
C06,2023,22.05,1
C06,2023,22.08,15
C06,2023,22.16,1
C06,2023,22.17,25
C06,2023,22.2,1
C06,2023,22.25,9548
C06,2023,22.31,1
C06,2023,22.33,14
C06,2023,22.41,1
