khoi,nam_hoc,tong_diem,so_hoc_sinh
C17,2025,11.1,1
C17,2025,11.25,1
C17,2025,12.0,1
C17,2025,12.25,1
C17,2025,12.5,1
C17,2025,12.85,3
C17,2025,13.0,2
C17,2025,13.1,1
C17,2025,13.3,1
C17,2025,13.35,3
C17,2025,13.45,1
C17,2025,13.5,2
C17,2025,13.6,3
C17,2025,13.75,1
C17,2025,13.85,2
C17,2025,14.1,2
C17,2025,14.2,1
C17,2025,14.25,3
C17,2025,14.3,2
C17,2025,14.35,4
C17,2025,14.45,1
C17,2025,14.5,1
C17,2025,14.6,3
C17,2025,14.7,2
C17,2025,14.75,2
C17,2025,14.85,3
C17,2025,14.95,1
C17,2025,15.0,2
C17,2025,15.1,5
C17,2025,15.2,1
C17,2025,15.25,5
C17,2025,15.35,8
C17,2025,15.5,6
C17,2025,15.6,2
C17,2025,15.67,1
C17,2025,15.7,5
C17,2025,15.75,7
C17,2025,15.799999999999999,1
C17,2025,15.85,5
C17,2025,15.95,3
C17,2025,16.0,2
C17,2025,16.049999999999997,1
C17,2025,16.1,10
C17,2025,16.2,1
C17,2025,16.25,14
C17,2025,16.35,15
C17,2025,16.4,1
C17,2025,16.45,3
C17,2025,16.5,9
C17,2025,16.6,10
C17,2025,16.7,3
C17,2025,16.75,12
C17,2025,16.83,1
C17,2025,16.85,9
C17,2025,16.95,5
C17,2025,17.0,10
C17,2025,17.05,1
C17,2025,17.1,6
C17,2025,17.2,5
C17,2025,17.25,15
C17,2025,17.35,17
C17,2025,17.45,2
C17,2025,17.5,5
C17,2025,17.52,1
C17,2025,17.55,2
C17,2025,17.6,9
C17,2025,17.7,3
C17,2025,17.75,15
C17,2025,17.85,15
C17,2025,17.95,8
C17,2025,18.0,18
C17,2025,18.1,19
C17,2025,18.17,1
C17,2025,18.2,8
C17,2025,18.25,23
C17,2025,18.35,18
C17,2025,18.45,7
C17,2025,18.5,25
C17,2025,18.55,1
C17,2025,18.6,13
C17,2025,18.7,11
C17,2025,18.75,21
C17,2025,18.8,1
C17,2025,18.85,28
C17,2025,18.95,7
C17,2025,19.0,25
C17,2025,19.1,14
C17,2025,19.2,12
C17,2025,19.25,29
C17,2025,19.35,22
C17,2025,19.45,4
C17,2025,19.5,23
C17,2025,19.6,18
C17,2025,19.7,5
C17,2025,19.75,22
C17,2025,19.85,17
C17,2025,19.95,3
C17,2025,20.0,35
C17,2025,20.1,19
C17,2025,20.2,1
C17,2025,20.25,23
C17,2025,20.3,1
C17,2025,20.33,1
C17,2025,20.35,23
C17,2025,20.45,5
C17,2025,20.5,36
C17,2025,20.58,1
C17,2025,20.6,10
C17,2025,20.7,3
C17,2025,20.75,32
C17,2025,20.85,9
C17,2025,20.95,2
C17,2025,21.0,35
C17,2025,21.1,17
C17,2025,21.2,3
C17,2025,21.25,20
C17,2025,21.35,12
C17,2025,21.45,2
C17,2025,21.5,30
C17,2025,21.6,9
C17,2025,21.7,2
C17,2025,21.75,23
C17,2025,21.83,1
C17,2025,21.85,10
C17,2025,21.95,2
C17,2025,22.0,17
C17,2025,22.08,1
C17,2025,22.1,7
C17,2025,22.2,1
C17,2025,22.25,17
C17,2025,22.3,1
C17,2025,22.35,8
C17,2025,22.5,20
C17,2025,22.6,2
C17,2025,22.75,15
C17,2025,22.85,2
C17,2025,23.0,9
C17,2025,23.1,3
C17,2025,23.25,18
C17,2025,23.35,1
C17,2025,23.5,7
C17,2025,23.6,1
C17,2025,23.75,2
C17,2025,23.85,1
C17,2025,24.0,6
C17,2025,24.1,1
C17,2025,24.5,3
C17,2025,24.75,2
C17,2025,25.0,4
C17,2025,25.25,2
C17,2025,25.5,1
