nam_hoc,mean,median,mode,std,min,max
2023,38.17489743893763,39.7,39.95,7.643104845524739,0.45,55.400000000000006
2024,38.44396887382332,39.85,40.05,7.700110021101728,2.4,55.9
2025,25.010852154903823,25.1,26.75,4.332279013276344,0.0,48.0
