nam_hoc,mean,median,mode,std,min,max
2023,6.394932614555256,6.5,6.5,1.2067717357380605,0.0,10.0
2024,6.2840785622908015,6.25,6.5,1.2448490063953837,0.0,10.0
2025,5.780638404825736,5.75,6.5,1.5940254393626703,0.0,10.0
