nam_hoc,mean,median,mode,std,min,max
2023,19.936481566033095,20.1,20.2,2.9187167462402996,6.15,28.9
2024,20.206700706679214,20.35,20.25,2.9632041648295355,4.95,29.35
2025,19.044954788409758,19.0,20.0,3.061622471952459,6.6,28.0
