khoi,nam_hoc,tong_diem,so_hoc_sinh
C05,2023,5.0,1
C05,2023,6.0,2
C05,2023,6.25,1
C05,2023,6.5,2
C05,2023,6.75,2
C05,2023,7.0,2
C05,2023,7.5,5
C05,2023,7.75,3
C05,2023,8.0,6
C05,2023,8.08,1
C05,2023,8.25,7
C05,2023,8.5,11
C05,2023,8.75,20
C05,2023,9.0,19
C05,2023,9.08,1
C05,2023,9.25,25
C05,2023,9.5,40
C05,2023,9.75,44
C05,2023,10.0,51
C05,2023,10.08,1
C05,2023,10.25,80
C05,2023,10.5,102
C05,2023,10.67,1
C05,2023,10.75,123
C05,2023,11.0,142
C05,2023,11.25,184
C05,2023,11.5,210
C05,2023,11.58,1
C05,2023,11.67,2
C05,2023,11.75,288
C05,2023,11.95,1
C05,2023,12.0,367
C05,2023,12.08,1
C05,2023,12.17,1
C05,2023,12.25,421
C05,2023,12.42,1
C05,2023,12.5,527
C05,2023,12.58,3
C05,2023,12.75,622
C05,2023,12.83,2
C05,2023,12.91,1
C05,2023,13.0,726
C05,2023,13.08,1
C05,2023,13.16,1
C05,2023,13.25,866
C05,2023,13.33,2
C05,2023,13.42,1
C05,2023,13.5,976
C05,2023,13.58,1
C05,2023,13.6,1
C05,2023,13.66,1
C05,2023,13.67,1
C05,2023,13.75,1149
C05,2023,13.83,5
C05,2023,13.91,1
C05,2023,14.0,1284
C05,2023,14.08,1
C05,2023,14.129999999999999,1
C05,2023,14.25,1522
C05,2023,14.33,4
C05,2023,14.42,5
C05,2023,14.5,1823
C05,2023,14.58,1
C05,2023,14.66,1
C05,2023,14.67,4
C05,2023,14.75,2000
C05,2023,14.83,5
C05,2023,14.92,5
C05,2023,15.0,2251
C05,2023,15.08,10
C05,2023,15.17,3
C05,2023,15.18,1
C05,2023,15.25,2519
C05,2023,15.33,4
C05,2023,15.41,1
C05,2023,15.42,3
C05,2023,15.43,1
C05,2023,15.45,1
C05,2023,15.5,2709
C05,2023,15.58,4
C05,2023,15.66,1
C05,2023,15.67,4
C05,2023,15.75,3054
C05,2023,15.83,13
C05,2023,15.91,1
C05,2023,15.92,4
C05,2023,16.0,3462
C05,2023,16.08,10
C05,2023,16.16,2
C05,2023,16.17,7
C05,2023,16.25,3727
C05,2023,16.33,13
C05,2023,16.35,1
C05,2023,16.41,4
C05,2023,16.42,5
C05,2023,16.5,4095
C05,2023,16.52,1
C05,2023,16.55,1
C05,2023,16.58,9
C05,2023,16.630000000000003,1
C05,2023,16.66,1
C05,2023,16.67,7
C05,2023,16.75,4515
C05,2023,16.83,12
C05,2023,16.91,1
C05,2023,16.92,9
C05,2023,17.0,4942
C05,2023,17.08,10
C05,2023,17.17,10
C05,2023,17.25,5373
C05,2023,17.33,13
C05,2023,17.41,1
C05,2023,17.42,11
C05,2023,17.43,1
C05,2023,17.5,5911
C05,2023,17.56,1
C05,2023,17.58,5
C05,2023,17.66,2
C05,2023,17.67,13
C05,2023,17.7,2
C05,2023,17.75,6436
C05,2023,17.8,1
C05,2023,17.83,19
C05,2023,17.91,2
C05,2023,17.92,5
C05,2023,17.98,1
