khoi,nam_hoc,tong_diem,so_hoc_sinh
D66,2023,3.7,1
D66,2023,4.2,1
D66,2023,4.4,1
D66,2023,4.55,1
D66,2023,4.8,1
D66,2023,4.85,1
D66,2023,5.0,1
D66,2023,5.6,1
D66,2023,5.65,1
D66,2023,5.7,1
D66,2023,5.8,3
D66,2023,5.95,1
D66,2023,6.0,1
D66,2023,6.2,2
D66,2023,6.25,4
D66,2023,6.3,1
D66,2023,6.35,2
D66,2023,6.4,2
D66,2023,6.55,1
D66,2023,6.6,2
D66,2023,6.65,4
D66,2023,6.7,1
D66,2023,6.75,3
D66,2023,6.85,1
D66,2023,6.9,1
D66,2023,6.95,2
D66,2023,7.0,2
D66,2023,7.05,7
D66,2023,7.1,3
D66,2023,7.15,4
D66,2023,7.2,1
D66,2023,7.25,4
D66,2023,7.3,1
D66,2023,7.35,9
D66,2023,7.4,3
D66,2023,7.45,2
D66,2023,7.5,3
D66,2023,7.55,5
D66,2023,7.6,3
D66,2023,7.65,3
D66,2023,7.7,5
D66,2023,7.75,6
D66,2023,7.8,8
D66,2023,7.85,4
D66,2023,7.9,9
D66,2023,7.95,6
D66,2023,8.0,8
D66,2023,8.05,7
D66,2023,8.1,11
D66,2023,8.15,8
D66,2023,8.2,9
D66,2023,8.25,6
D66,2023,8.280000000000001,1
D66,2023,8.3,7
D66,2023,8.35,12
D66,2023,8.4,4
D66,2023,8.45,11
D66,2023,8.48,1
D66,2023,8.5,16
D66,2023,8.55,15
D66,2023,8.6,16
D66,2023,8.65,10
D66,2023,8.68,1
D66,2023,8.7,14
D66,2023,8.75,15
D66,2023,8.8,12
D66,2023,8.85,19
D66,2023,8.9,17
D66,2023,8.95,13
D66,2023,9.0,19
D66,2023,9.05,21
D66,2023,9.07,1
D66,2023,9.1,18
D66,2023,9.15,25
D66,2023,9.2,18
D66,2023,9.25,25
D66,2023,9.3,17
D66,2023,9.35,28
D66,2023,9.4,25
D66,2023,9.45,25
D66,2023,9.5,28
D66,2023,9.55,35
D66,2023,9.6,41
D66,2023,9.65,32
D66,2023,9.7,33
D66,2023,9.75,32
D66,2023,9.8,37
D66,2023,9.82,1
D66,2023,9.85,30
D66,2023,9.870000000000001,1
D66,2023,9.9,37
D66,2023,9.95,36
D66,2023,10.0,48
D66,2023,10.05,58
D66,2023,10.1,47
D66,2023,10.15,40
D66,2023,10.2,37
D66,2023,10.25,52
D66,2023,10.3,45
D66,2023,10.35,58
D66,2023,10.4,57
D66,2023,10.45,50
D66,2023,10.5,61
D66,2023,10.530000000000001,1
D66,2023,10.55,59
D66,2023,10.57,1
D66,2023,10.6,58
D66,2023,10.65,60
D66,2023,10.7,70
D66,2023,10.75,73
D66,2023,10.8,77
D66,2023,10.85,89
D66,2023,10.879999999999999,1
D66,2023,10.9,86
D66,2023,10.92,1
D66,2023,10.95,87
D66,2023,11.0,85
D66,2023,11.05,86
D66,2023,11.08,1
D66,2023,11.1,99
D66,2023,11.15,113
D66,2023,11.17,1
D66,2023,11.2,112
D66,2023,11.23,1
D66,2023,11.25,110
D66,2023,11.3,104
D66,2023,11.35,127
D66,2023,11.4,110
D66,2023,11.45,126
D66,2023,11.450000000000001,1
D66,2023,11.5,136
D66,2023,11.530000000000001,2
D66,2023,11.55,118
D66,2023,11.6,148
D66,2023,11.65,137
D66,2023,11.67,1
D66,2023,11.68,2
D66,2023,11.7,162
D66,2023,11.75,139
D66,2023,11.8,160
D66,2023,11.82,1
D66,2023,11.85,164
D66,2023,11.879999999999999,2
D66,2023,11.9,169
D66,2023,11.95,135
D66,2023,12.0,185
D66,2023,12.05,210
D66,2023,12.1,186
D66,2023,12.120000000000001,1
D66,2023,12.15,192
D66,2023,12.2,251
D66,2023,12.23,1
D66,2023,12.25,216
D66,2023,12.27,1
D66,2023,12.280000000000001,2
D66,2023,12.3,210
D66,2023,12.31,2
D66,2023,12.32,1
D66,2023,12.35,220
D66,2023,12.370000000000001,1
D66,2023,12.4,225
D66,2023,12.45,228
D66,2023,12.5,229
D66,2023,12.52,1
D66,2023,12.530000000000001,1
D66,2023,12.55,232
D66,2023,12.57,1
D66,2023,12.6,263
D66,2023,12.65,278
D66,2023,12.67,1
D66,2023,12.68,1
D66,2023,12.7,305
D66,2023,12.719999999999999,1
D66,2023,12.73,1
D66,2023,12.75,252
D66,2023,12.780000000000001,2
D66,2023,12.8,295
D66,2023,12.82,2
D66,2023,12.85,307
D66,2023,12.879999999999999,2
D66,2023,12.9,286
D66,2023,12.92,1
D66,2023,12.93,1
D66,2023,12.95,306
D66,2023,12.969999999999999,2
D66,2023,12.97,1
D66,2023,13.0,298
D66,2023,13.02,1
