mean,median,std,%>=5,%>=8
6.8581939202907245,7.0,1.3264706479824535,92.69,24.42
7.231146118325761,7.5,1.330057335946036,94.93,35.99
6.990479032390581,7.25,1.2910494522396454,93.53,26.6
