nam_hoc,mean,median,mode,std,min,max
2018,30.59029647288954,31.35,32.7,6.7887111596442615,2.6,56.8
2019,33.37659613557175,34.1,34.0,6.869711357581946,0.75,59.5
2021,39.6367974568574,41.35,45.55,8.166923592096996,4.8,55.5
2022,38.27309572520728,39.15,38.8,7.065133193906473,3.0,55.5
2023,38.78177467196219,40.35,40.95,7.852010356220377,5.0,55.75
2024,40.43883561305614,41.8,41.6,7.327345181885897,5.0,56.25
2025,24.69609223645041,24.95,26.0,4.261274831556339,3.5,47.3
