nam_hoc,mean,median,mode,std,min,max
2018,15.288496673752086,15.3,15.55,2.8651947888428944,0.0,27.25
2019,16.83688876556063,16.9,17.15,3.303260408883319,0.0,28.4
2020,19.562446884806878,19.75,20.15,3.425168022801779,0.0,29.4
2021,19.631400902286476,19.85,20.6,3.5295127069607584,3.7,29.15
2022,20.53949646722927,20.9,21.85,3.40867970954097,3.8,29.2
2023,20.290948827915333,20.55,21.15,3.3864940852501557,4.25,29.0
2024,20.936119741133727,21.25,21.8,3.15133926205328,3.4,29.15
2025,17.289528747006266,17.45,18.75,3.1048610181983527,4.5,27.8
