khoi,nam_hoc,tong_diem,so_hoc_sinh
A10,2018,0.0,7
A10,2018,3.05,1
A10,2018,3.8,1
A10,2018,4.1,1
A10,2018,4.75,1
A10,2018,4.9,1
A10,2018,5.7,2
A10,2018,5.95,1
A10,2018,6.05,1
A10,2018,6.15,1
A10,2018,6.25,2
A10,2018,6.3,2
A10,2018,6.35,1
A10,2018,6.4,2
A10,2018,6.45,1
A10,2018,6.6,1
A10,2018,6.65,3
A10,2018,6.75,1
A10,2018,6.8,3
A10,2018,6.85,2
A10,2018,6.9,3
A10,2018,6.95,1
A10,2018,7.0,3
A10,2018,7.05,2
A10,2018,7.1,2
A10,2018,7.15,3
A10,2018,7.2,2
A10,2018,7.25,5
A10,2018,7.3,4
A10,2018,7.35,4
A10,2018,7.4,5
A10,2018,7.45,4
A10,2018,7.5,5
A10,2018,7.55,7
A10,2018,7.6,7
A10,2018,7.65,11
A10,2018,7.7,6
A10,2018,7.75,10
A10,2018,7.8,9
A10,2018,7.85,8
A10,2018,7.9,13
A10,2018,7.95,8
A10,2018,8.0,4
A10,2018,8.05,11
A10,2018,8.1,8
A10,2018,8.15,10
A10,2018,8.2,8
A10,2018,8.25,9
A10,2018,8.3,21
A10,2018,8.35,17
A10,2018,8.4,23
A10,2018,8.45,16
A10,2018,8.5,16
A10,2018,8.55,14
A10,2018,8.6,20
A10,2018,8.65,18
A10,2018,8.7,21
A10,2018,8.75,31
A10,2018,8.8,29
A10,2018,8.85,26
A10,2018,8.9,28
A10,2018,8.95,29
A10,2018,9.0,25
A10,2018,9.05,29
A10,2018,9.1,32
A10,2018,9.15,48
A10,2018,9.2,35
A10,2018,9.25,34
A10,2018,9.3,40
A10,2018,9.35,32
A10,2018,9.4,35
A10,2018,9.45,39
A10,2018,9.5,44
A10,2018,9.55,53
A10,2018,9.6,52
A10,2018,9.65,46
A10,2018,9.7,55
A10,2018,9.75,46
A10,2018,9.8,54
A10,2018,9.85,58
A10,2018,9.9,74
A10,2018,9.95,59
A10,2018,10.0,65
A10,2018,10.05,65
A10,2018,10.1,65
A10,2018,10.15,63
A10,2018,10.2,80
A10,2018,10.25,89
A10,2018,10.3,87
A10,2018,10.35,67
A10,2018,10.4,84
A10,2018,10.45,91
A10,2018,10.5,83
A10,2018,10.55,113
A10,2018,10.6,83
A10,2018,10.65,94
A10,2018,10.7,89
A10,2018,10.75,92
A10,2018,10.8,107
A10,2018,10.85,133
A10,2018,10.9,89
A10,2018,10.95,103
A10,2018,11.0,118
A10,2018,11.05,126
A10,2018,11.1,107
A10,2018,11.15,129
A10,2018,11.2,116
A10,2018,11.25,135
A10,2018,11.3,139
A10,2018,11.35,142
A10,2018,11.4,125
A10,2018,11.45,148
A10,2018,11.5,146
A10,2018,11.55,160
A10,2018,11.6,142
A10,2018,11.65,157
A10,2018,11.7,172
A10,2018,11.75,143
A10,2018,11.8,159
A10,2018,11.85,174
A10,2018,11.9,145
A10,2018,11.95,168
A10,2018,12.0,159
A10,2018,12.05,196
A10,2018,12.1,167
A10,2018,12.15,176
A10,2018,12.2,203
A10,2018,12.25,215
A10,2018,12.3,180
A10,2018,12.35,191
A10,2018,12.4,197
A10,2018,12.45,195
A10,2018,12.5,194
A10,2018,12.55,200
A10,2018,12.6,203
A10,2018,12.65,220
A10,2018,12.7,226
A10,2018,12.75,212
A10,2018,12.8,220
A10,2018,12.85,199
A10,2018,12.9,225
A10,2018,12.95,207
A10,2018,13.0,234
A10,2018,13.05,243
A10,2018,13.1,209
A10,2018,13.15,218
A10,2018,13.2,247
A10,2018,13.25,191
A10,2018,13.3,217
A10,2018,13.35,250
A10,2018,13.4,247
A10,2018,13.45,220
A10,2018,13.5,256
A10,2018,13.55,241
A10,2018,13.6,232
A10,2018,13.65,258
A10,2018,13.7,235
A10,2018,13.75,234
A10,2018,13.8,245
A10,2018,13.85,249
A10,2018,13.9,227
A10,2018,13.95,212
A10,2018,14.0,240
A10,2018,14.05,240
A10,2018,14.1,241
A10,2018,14.15,232
A10,2018,14.2,224
A10,2018,14.25,235
A10,2018,14.3,261
A10,2018,14.35,231
A10,2018,14.4,228
A10,2018,14.45,230
A10,2018,14.5,215
A10,2018,14.55,243
A10,2018,14.6,251
A10,2018,14.65,230
A10,2018,14.7,236
A10,2018,14.75,262
A10,2018,14.8,223
A10,2018,14.85,252
A10,2018,14.9,205
A10,2018,14.95,237
A10,2018,15.0,237
A10,2018,15.05,230
A10,2018,15.1,217
A10,2018,15.15,243
A10,2018,15.2,251
A10,2018,15.25,244
A10,2018,15.3,246
A10,2018,15.35,236
A10,2018,15.4,215
A10,2018,15.45,209
A10,2018,15.5,242
A10,2018,15.55,232
A10,2018,15.6,216
A10,2018,15.65,208
A10,2018,15.7,219
A10,2018,15.75,205
A10,2018,15.8,214
A10,2018,15.85,219
