khoi,nam_hoc,tong_diem,so_hoc_sinh
X14,2025,8.6,1
X14,2025,9.1,1
X14,2025,9.45,1
X14,2025,9.95,1
X14,2025,10.05,1
X14,2025,10.2,1
X14,2025,10.45,1
X14,2025,10.7,2
X14,2025,10.95,1
X14,2025,11.35,1
X14,2025,11.399999999999999,1
X14,2025,11.75,2
X14,2025,11.85,1
X14,2025,11.9,1
X14,2025,12.1,1
X14,2025,12.2,1
X14,2025,12.45,2
X14,2025,12.55,2
X14,2025,12.85,2
X14,2025,12.95,1
X14,2025,13.15,1
X14,2025,13.25,1
X14,2025,13.3,1
X14,2025,13.35,2
X14,2025,13.45,1
X14,2025,13.5,1
X14,2025,13.6,4
X14,2025,13.65,1
X14,2025,13.7,1
X14,2025,13.85,2
X14,2025,14.0,2
X14,2025,14.1,3
X14,2025,14.2,3
X14,2025,14.299999999999999,1
X14,2025,14.35,1
X14,2025,14.45,1
X14,2025,14.6,3
X14,2025,14.8,1
X14,2025,14.85,5
X14,2025,15.0,2
X14,2025,15.25,1
X14,2025,15.4,1
X14,2025,15.45,1
X14,2025,15.55,1
X14,2025,15.75,3
X14,2025,15.8,1
X14,2025,15.85,1
X14,2025,15.95,2
X14,2025,16.0,1
X14,2025,16.049999999999997,1
X14,2025,16.1,4
X14,2025,16.3,1
X14,2025,16.35,2
X14,2025,16.4,1
X14,2025,16.5,2
X14,2025,16.6,1
X14,2025,16.7,2
X14,2025,16.75,1
X14,2025,17.0,1
X14,2025,17.1,5
X14,2025,17.25,1
X14,2025,17.35,1
X14,2025,17.5,1
X14,2025,17.6,2
X14,2025,17.7,2
X14,2025,17.75,1
X14,2025,17.95,1
X14,2025,18.1,2
X14,2025,18.25,1
X14,2025,18.35,1
X14,2025,18.45,1
X14,2025,18.5,1
X14,2025,18.6,1
X14,2025,18.85,1
X14,2025,19.05,1
X14,2025,19.2,1
X14,2025,19.35,1
X14,2025,19.6,2
X14,2025,19.85,1
X14,2025,20.25,1
X14,2025,20.5,1
X14,2025,20.75,1
X14,2025,21.35,1
X14,2025,21.95,1
