nam_hoc,mean,median,mode,std,min,max
2023,35.619774315957656,36.4,36.05,7.4240617944229,4.8,54.2
2024,37.61044540499906,38.35,39.0,7.0470039081349105,5.4,56.1
2025,23.632738137082605,23.75,25.75,4.1615909586918045,0.5,49.5
